step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
36,0.00036,NLR,1.0,0.01682843100570608,0.04398369799309876,0.0007896850001998246,3.769004251807928e-06,0.0022089323463220806,0.0007499992139881278,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8435194584230062e-05,3.9898639947466563e-17,0.0003330711270152164,0.014356666626825332,-0.00012256424734918264,0.21860983751906538,0,0.0,0.3445304213652576,0.0,0.3445304213652576,2.541098841762901e-20,0.00036000000000000035,1,1e-05
37,0.00037000000000000005,NLR,1.0,0.018565866004792042,0.05616358699626289,0.00037562899524345994,2.3269967641681433e-06,0.0021927774922033635,0.000736775143568088,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8436376226782534e-05,4.163336342344337e-17,0.0003330787474491594,0.01435691625114166,-0.00012257267517092572,0.2186136349363127,0,0.0,0.3525537366416799,0.0,0.3525537366416799,-2.879912020664621e-20,0.0003700000000000003,1,1e-05
38,0.00038,NLR,1.0,0.01637076199403964,0.04379813799459953,0.0003252809983678162,2.101995050907135e-06,0.0021761967632090103,0.0007238448025109763,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8437548301959787e-05,3.810970636286548e-17,0.0003330863134576485,0.014357164096515662,-0.0001225810116721491,0.2186174052799013,0,0.0,0.3604518471721271,0.0,0.3604518471721271,-2.879912020664621e-20,0.0003800000000000003,1,1e-05
39,0.00039000000000000005,NLR,1.0,0.018720933003351092,0.04951211500156205,0.0007242420106194913,3.287001163698733e-06,0.002159247771992172,0.0007112518674803428,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8438710757181983e-05,3.9898639947466563e-17,0.0003330938247170178,0.01435741015448122,-0.00012258925630952348,0.21862114842092575,0,0.0,0.3682232620488269,0.0,0.3682232620488269,7.962109704190423e-20,0.00039000000000000037,1,1e-05
40,0.0004,NLR,1.0,0.019733613007701933,0.04890446999343112,0.00037561099452432245,2.4030014174059033e-06,0.0021419864288944744,0.000699035325635214,nan,nan,,0.0,nan,nan,nan,nan,0,,1.843986356362861e-05,3.838075690598686e-17,0.0003331012810437438,0.014357654421028654,-0.00012259740861342872,0.21862486429829225,0,0.0,0.3758667659633008,0.0,0.3758667659633008,2.541098841762901e-20,0.0004000000000000004,1,1e-05
41,0.00041000000000000005,NLR,1.0,0.0191760480083758,0.048206799998297356,0.00034652400063350797,2.054002834483981e-06,0.0021244664118986044,0.0006872291150755459,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8441006714163105e-05,3.968179951296946e-17,0.00033310868238313566,0.014357896896231681,-0.00012260546861327765,0.21862855291305447,0,0.0,0.3833814172942125,0.0,0.3833814172942125,-2.879912020664621e-20,0.00041000000000000037,1,1e-05
42,0.00042,NLR,1.0,0.016546351995202713,0.04514811201079283,0.0003707589930854738,2.0120060071349144e-06,0.0021067387008712607,0.0006758618679809953,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8442140221589403e-05,4.163336342344337e-17,0.0003331160287970953,0.014358137583845298,-0.00012261343615478055,0.21863221432230007,0,0.0,0.39076654394040716,0.0,0.39076654394040716,7.962109704190423e-20,0.00042000000000000045,1,1e-05
43,0.00043000000000000004,NLR,1.0,0.014053738996153697,0.05129390700312797,0.00033695199817884713,1.925000105984509e-06,0.0020888511851601963,0.0006649567618184799,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8443264116460916e-05,3.8163916471489756e-17,0.0003331233204513345,0.014358376490888558,-0.0001226213114800648,0.21863584863277272,0,0.0,0.39802173706770805,0.0,0.39802173706770805,2.541098841762901e-20,0.0004300000000000005,1,1e-05
44,0.00044,NLR,1.0,0.015064666004036553,0.04963449799106456,0.00033645999792497605,2.3550092009827495e-06,0.002070848345585127,0.0006545314793580581,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8444378444899447e-05,4.119968255444917e-17,0.00033313055760203665,0.014358613627208694,-0.00012262909502120498,0.2186394559942931,0,0.0,0.4051468429671219,0.0,0.4051468429671219,2.541098841762901e-20,0.0004400000000000005,1,1e-05
45,0.00045000000000000004,NLR,1.0,0.014139869002974592,0.042719409000710584,0.0003257810021750629,2.0049919839948416e-06,0.0020527710140732535,0.0006445982756558756,nan,nan,,0.0,nan,nan,nan,nan,0,,1.844548326635995e-05,3.8163916471489756e-17,0.00033313774058245577,0.014358849005047913,-0.0001226367870995279,0.2186430365931051,0,0.0,0.4121419532439654,0.0,0.4121419532439654,-2.879912020664621e-20,0.0004500000000000005,1,1e-05
46,0.00046,NLR,1.0,0.02181374999054242,0.04450976601219736,0.0007380400056717917,3.2139942049980164e-06,0.0020346562104629168,0.0006351641463458815,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8446578651441798e-05,4.0766001685454967e-17,0.00033314486978949396,0.014359082638607523,-0.0001226443885179371,0.21864659064529335,0,0.0,0.4190073935719667,0.0,0.4190073935719667,7.962109704190423e-20,0.00046000000000000056,1,1e-05
47,0.00047000000000000004,NLR,1.0,0.015206872005364858,0.048971927011734806,0.0003245130064897239,2.011001924984157e-06,0.002016537051633952,0.0006262310881784055,nan,nan,,0.0,nan,nan,nan,nan,0,,1.844766467984755e-05,3.9898639947466563e-17,0.00033315194567052177,0.014359314543622492,-0.00012265189985115918,0.21865011839029402,0,0.0,0.4257437112538501,0.0,0.4257437112538501,7.962109704190423e-20,0.00047000000000000064,1,1e-05
48,0.00048000000000000007,NLR,1.0,0.020925703007378615,0.04573994901147671,0.0003202599909855053,1.7079873941838741e-06,0.0019984427318505207,0.0006177964405656454,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8448741438107755e-05,3.9654694458657325e-17,0.0003331589687106767,0.014359544736953778,-0.00012265932182354983,0.21865362008466915,0,0.0,0.4323516618307641,0.0,0.4323516618307641,-2.879912020664621e-20,0.0004800000000000006,1,1e-05
49,0.0004900000000000001,NLR,1.0,0.01704206100839656,0.05030107298807707,0.0003332560008857399,1.577995135448873e-06,0.0019803985657384135,0.000609853294302581,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8449809017586947e-05,3.9898639947466563e-17,0.0003331659394206646,0.014359773236195306,-0.00012266665545548091,0.21865709599616973,0,0.0,0.4388321949778565,0.0,0.4388321949778565,2.541098841762901e-20,0.0004900000000000006,1,1e-05
50,0.0005,NLR,1.0,0.018564075988251716,0.04628050200699363,0.0006158030009828508,4.711007932201028e-06,0.0019624260880886945,0.0006023909522163227,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8450867512681212e-05,3.946495907847236e-17,0.0003331728583253211,0.014360000059309375,-0.0001226739015905909,0.21866054639814675,0,0.0,0.44518643991317536,0.0,0.44518643991317536,1.3383120566617945e-19,0.0005000000000000008,1,1e-05
51,0.00051,NLR,1.0,0.017049967995262705,0.04754667000088375,0.00032961199758574367,1.920998329296708e-06,0.0019445432041720178,0.000595395426127646,nan,nan,,0.0,nan,nan,nan,nan,0,,1.845191701897169e-05,3.924811864397526e-17,0.0003331797259529982,0.014360225224287593,-0.00012268106116537688,0.21866397156439843,0,0.0,0.4514156905328058,0.0,0.4514156905328058,-8.300922883092143e-20,0.0005100000000000007,1,1e-05
52,0.0005200000000000001,NLR,1.0,0.020739929997944273,0.04754729100386612,0.00033807099680416286,2.291999408043921e-06,0.0019267643809156387,0.0005888499540494744,nan,nan,,0.0,nan,nan,nan,nan,0,,1.845295763164524e-05,3.9898639947466563e-17,0.00033318654282579285,0.01436044874883935,-0.0001226881350344843,0.21866737176445736,0,0.0,0.45752139046769236,0.0,0.45752139046769236,2.541098841762901e-20,0.0005200000000000007,1,1e-05
53,0.0005300000000000001,NLR,1.0,0.016849214007379487,0.04362595699785743,0.0005056030058767647,2.4670007405802608e-06,0.001909100872612757,0.0005827355226156892,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8453989443913847e-05,3.903127820947816e-17,0.00033319330945080924,0.014360670650116258,-0.00012269512412572386,0.21867074725936891,0,0.0,0.4635051182378776,0.0,0.4635051182378776,2.541098841762901e-20,0.0005300000000000007,1,1e-05
54,0.00054,NLR,1.0,0.017000924999592826,0.049178122004377656,0.0003282670077169314,2.0899897208437324e-06,0.0018915609728193858,0.000577031380826319,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8455012545790614e-05,3.870601755773251e-17,0.0003332000263123793,0.014360890944465687,-0.00012270202959101335,0.21867409829796416,0,0.0,0.4693685726587905,0.0,0.4693685726587905,1.3383120566617945e-19,0.0005400000000000009,1,1e-05
55,0.00055,NLR,1.0,0.01602054499380756,0.04533561000425834,0.0003269260050728917,1.972002792172134e-06,0.0018741502845017277,0.0005717155330099451,nan,nan,,0.0,nan,nan,nan,nan,0,,1.845602702301002e-05,4.0332320816460765e-17,0.00033320669386529466,0.014361109647219594,-0.0001227088521528004,0.21867742511361496,0,0.0,0.4751135586325286,0.0,0.4751135586325286,-8.300922883092143e-20,0.0005500000000000008,1,1e-05
56,0.0005600000000000001,NLR,1.0,0.014811968998401426,0.04909211499034427,0.0005809979920741171,5.125999450683594e-06,0.0018568720042094484,0.0005667652012881174,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8457032955811348e-05,4.163336342344337e-17,0.00033321331252907636,0.014361326772514893,-0.00012271559273664264,0.21868072792152787,0,0.0,0.4807419734354798,0.0,0.4807419734354798,1.3383120566617945e-19,0.0005600000000000009,1,1e-05
57,0.0005700000000000001,NLR,1.0,0.015416057998663746,0.05022612398897763,0.00033020100090652704,2.2329913917928934e-06,0.0018397272107966009,0.0005621572494334252,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8458030418350295e-05,3.867891250342037e-17,0.0003332198826832275,0.014361542333147348,-0.00012272225218357743,0.21868400691650308,0,0.0,0.48625579359269416,0.0,0.48625579359269416,-8.300922883092143e-20,0.0005700000000000008,1,1e-05
